date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:19:40	614/614	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:39%20GMT	https://www.qureskincare.com/cdn/shop/files/mute.png?v=1602063545	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/mute715d.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:40	669/669	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:40%20GMT	https://www.qureskincare.com/cdn/shop/files/speaker2.png?v=1602063545	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/speaker2715d.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:41	536/536	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:40%20GMT	https://www.qureskincare.com/cdn/shop/files/Group_307.png?v=1622031688	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Group_3076790.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:44	1661253/1661253	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:43%20GMT	https://www.qureskincare.com/cdn/shop/files/Imagery.png?v=1622176400	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Imageryc7a5.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:44	1485704/1485704	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2022:52:26%20GMT	https://www.qureskincare.com/cdn/shop/files/Imagery_1.png?v=1622454740	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Imagery_10a39.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:44	378/378	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2022:52:24%20GMT	https://www.qureskincare.com/cdn/shop/files/Vector_9.png?v=1622639652	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Vector_9bc69.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:45	466/466	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:44%20GMT	https://www.qureskincare.com/cdn/shop/files/Group_828.png?v=1623134288	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Group_82813a4.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:45	443/443	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Oct%202023%2012:49:45%20GMT	https://www.qureskincare.com/cdn/shop/files/Group_1025.png?v=1623134287	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Group_1025568e.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:46	327/327	---M--	200	added ('OK')	image/png	date:Fri,%2027%20Oct%202023%2004:14:05%20GMT	https://www.qureskincare.com/cdn/shop/files/Path.png?v=1623649163	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/Pathc400.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
18:19:46	327/327	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Oct%202023%2022:52:25%20GMT	https://www.qureskincare.com/cdn/shop/files/icons8-right_arrow_878892ea-9ccf-4515-8710-95535e583946.png?v=1627452427	E:/AWS/Qure/www.qureskincare.com/cdn/shop/files/icons8-right_arrow_878892ea-9ccf-4515-8710-95535e583946c648.png	(from https://www.qureskincare.com/cdn/shop/t/106/assets/__app-styles.css?v=10015453157710886461695542059)
